PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
277659047,22052632,6,2022-04-08T18:30:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 13(a)(16) Possession of Controlled Substance,1115,8,2,-79.92259331497,40.4601393368172
277665036,22052796,99,2022-04-08T23:57:00,"Bayard Rd Pittsburgh, PA 15213",N,Shadyside,4,AIDED CASE,9497 Aided Case,709,8,2,-79.9441064901533,40.4516616081862
277687081,22052979,14,2022-04-09T11:15:00,"50 Block 11th St Pittsburgh, PA 15219",Y,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief.,201,3,3,-79.9876755376991,40.428967496273
275698891,22040830,10,2022-03-19T16:07:00,"300 Block 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 5505 Public Drunkenness / 5503 Disorderly Conduct. / 907 Possessing Instruments of Crime.,201,6,6,-80.0002903704474,40.4405261905044
275700532,22040935,14,2022-03-19T18:54:00,"6000 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1115,9,2,-79.9247104221077,40.4611889439979
275705643,22041019,27,2022-03-19T21:18:00,"1900 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9849755281356,40.4513005964809
275715494,22041138,99,2022-03-20T01:44:00,"5th Ave & Robinson St Pittsburgh, PA 15213",N,West Oakland,4,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,402,6,3,-79.9653610862219,40.4377518612259
275716453,22041193,10,2022-03-20T03:30:00,"4300 Block Coleridge St Pittsburgh, PA 15201",Y,Stanton Heights,5,SIMPLE ASSAULT,2701 Simple Assault.,1005,9,2,-79.9419027672645,40.4775596018963
275730353,22041234,5,2022-03-20T07:24:00,"900 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1918,4,5,-80.0191898061447,40.3928794375987
275741721,22041370,14,2022-03-20T14:00:00,"300 Block Meyran Ave Pittsburgh, PA 15213",N,Central Oakland,4,CRIM MISCHIEF,3304 Criminal Mischief.,405,3,3,-79.9567062928188,40.4389517615129
275749693,22041540,0,2022-03-20T20:22:00,"3000 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): ,1918,4,5,-80.0285329382489,40.3945520191713
275752383,22041564,0,2022-03-20T21:18:00,"700 Block Edmond St Pittsburgh, PA 15224",N,Bloomfield,5,99,9093 Indirect Criminal Contempt,802,7,2,-79.949982715277,40.4589398392385
275764886,22041688,99,2022-03-21T03:35:00,"500 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,201,6,6,-79.9981194717119,40.4403400419921
277522780,22051742,27,2022-04-06T15:00:00,"Hatfield St & 49th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,901,7,2,-79.9576920719378,40.4775582066578
277524031,22051801,0,2022-04-07T10:50:00,"300 Block N Craig Trwy Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): Accident involving parked vehicle,507,8,3,-79.9490918148169,40.445574514372
277529451,22047075,27,2022-03-30T09:33:00,"600 Block First  Ave Pittsburgh, PA 15219",Y,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.,201,6,6,-79.9960409452176,40.4350395659105
277538916,22048039,99,2022-03-31T21:03:00,"800 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,LOST PROPERTY,9504 Lost Property,1201,,,-79.853700672086,40.4983103405348
